"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G00001","KR[KR1]","KR[KR2]","KR[KR3]","KR[KR4]","KR[KR5]","KR[other]","AC01[AC1]","SM01[SM1]","SM01[SM2]","SM01[SM3]","SM01[SM4]","SM01[SM5]","SM01[SM6]","SM01[SM7]","AC02[AC2]","SM02[SM8]","SM02[SM9]","SM02[SM10]","SM02[SM11]","SM02[SM12]","SM02[SM13]","SM02[SM14]","SM02[SM15]"
"5","2024-04-01 16:31:07","3","en","583728999","2024-04-01 16:25:51","2024-04-01 16:31:07","nf29","","","Y","","","","","4","5","3","3","2","3","4","","2","2","4","5","4","4","4","4"
"6","2024-04-02 21:12:24","3","en","1590757331","2024-04-02 21:07:18","2024-04-02 21:12:24","uj20","","","Y","","","","","2","4","3","2","4","5","3","","3","3","2","3","2","3","2","3"
"7","2024-04-05 09:46:10","3","en","1757052881","2024-04-05 09:42:37","2024-04-05 09:46:10","Ss26","","Y","","","","","","3","2","2","1","4","3","3","","3","2","2","2","4","3","2","4"
"8","2024-04-10 05:04:25","3","en","510366264","2024-04-10 04:58:57","2024-04-10 05:04:25","AM29","","","Y","","","","","1","1","1","1","1","4","4","","2","1","4","4","1","2","1","3"
"10","2024-04-12 16:39:59","3","en","1686519652","2024-04-12 16:33:16","2024-04-12 16:39:58","CE17","","","Y","","","","","2","4","4","2","2","4","3","","4","4","4","2","2","2","2","3"
"13","2024-04-17 17:16:00","3","en","","2024-04-17 17:12:00","2024-04-17 17:16:00","HJ42","","","Y","","","","","2","4","2","3","2","4","2","","2","2","2","2","4","3","2","3"
"14","2024-04-22 09:42:00","3","en","","2024-04-22 09:39:00","2024-04-22 09:42:00","hp21","","","Y","","","","","2","2","3","3","4","4","4","","3","2","4","3","4","3","3","4"
"15","2024-04-23 09:05:04","3","en","1349883918","2024-04-23 09:03:01","2024-04-23 09:05:04","MV18","Y","","","","","","","3","4","3","1","2","2","4","","4","4","4","2","4","3","2","3"
"16","2024-04-23 09:11:10","3","en","615304604","2024-04-23 09:07:32","2024-04-23 09:11:10","HO30","","","","Y","","","","2","4","3","2","2","4","3","5","3","4","4","2","4","4","4","3"
"17","2024-04-23 09:37:50","3","en","931322991","2024-04-23 09:35:53","2024-04-23 09:37:50","LJ16","Y","","","","","","","1","5","2","3","2","4","4","","4","3","4","2","4","3","4","4"
"20","2024-04-25 22:10:58","3","en","2045124505","2024-04-25 22:08:44","2024-04-25 22:10:58","mm01","","","Y","","","","","4","4","1","3","3","3","4","","4","2","4","4","4","2","2","3"
"21","2024-04-29 06:08:51","3","en","1896557208","2024-04-29 06:07:05","2024-04-29 06:08:51","sm07","","","Y","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","4"
"22","2024-04-29 07:57:32","3","en","1325889375","2024-04-29 07:56:42","2024-04-29 07:57:32","ej15","","","Y","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","4"
"23","2024-04-29 08:00:00","3","en","","2024-04-29 07:59:00","2024-04-29 08:00:00","Ei31","","","","","Y","","","1","1","3","1","1","1","1","","1","1","1","1","1","1","1","3"
"24","2024-04-29 08:01:00","3","en","","2024-04-29 08:01:00","2024-04-29 08:01:00","MN03","","","","","Y","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","3"
"25","2024-04-29 08:03:00","3","en","","2024-04-29 08:03:00","2024-04-29 08:03:00","SS83","","Y","","","","","","1","1","1","1","1","1","1","","3","1","1","1","1","1","1","3"
"26","2024-04-29 13:17:04","3","en","1974919326","2024-04-29 13:12:14","2024-04-29 13:17:04","Mu06","Y","","","","","","1","2","4","2","2","4","4","3","","2","4","4","4","4","3","4","3"
"27","2024-05-07 17:35:29","3","en","930677573","2024-05-07 17:26:59","2024-05-07 17:35:29","mm02","Y","","Y","","","","","2","1","2","3","3","2","3","","2","4","4","2","4","1","1","3"
"29","2024-05-08 08:38:42","3","en","1465618003","2024-05-08 08:36:46","2024-05-08 08:38:42","mt28","Y","","","Y","Y","","","1","4","3","2","2","4","4","","4","2","1","2","4","4","3","4"
"30","2024-05-08 09:00:21","3","en","1900138873","2024-05-08 08:58:13","2024-05-08 09:00:21","rr16","Y","","","","","","","1","4","4","2","5","5","5","","4","3","2","2","4","5","2","4"
